Date,Time,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
23-12-2022,15:26:37,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
26-12-2022,13:33:35,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner
15-12-2012,11:14:20,Hyundai Verna 1.6 SX,,600000,100000,Diesel,Individual,Manual,First Owner
27-12-2012,02:19:44,Datsun RediGO T Option,2017,2,46000,Petrol,Individual,Manual,First Owner
22-12-2012,02:10:46,Honda Amaze VX i-DTEC,2014,450000,,Diesel,Individual,Manual,Second Owner
19-12-2010,19:31:27,Maruti Alto LX BSIII,,140000,125000,Petrol,Individual,Manual,First Owner
23-12-2009,11:36:58,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner
23-12-2022,15:26:37,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
23-11-2009,01:35:15,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner
23-11-2008,23:20:39,Maruti Celerio Green VXI,2017,365000,5,CNG,Individual,Manual,First Owner
23-11-2008,23:20:09,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
23-10-2008,23:03:42,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
23-10-2008,21:31:20,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
23-10-2008,21:28:24,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
23-12-2022,15:26:37,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner
23-10-2008,18:23:39,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner
23-10-2008,18:03:49,Datsun RediGO T Option,2017,34,46000,Petrol,Individual,Manual,First Owner
23-10-2008,16:39:36,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner
23-09-2008,11:43:14,Maruti Alto LX BSIII,2007,140000,125000,Petrol,,Manual,First Owner
23-09-2008,06:42:36,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner
23-09-2008,04:32:51,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner
23-09-2008,04:29:09,Hyundai Creta 1.6 VTVT S,2015,850000,4,Petrol,Individual,Manual,First Owner
23-09-2008,04:27:18,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner
23-09-2008,03:43:54,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner
23-08-2008,00:17:57,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner
23-08-2008,00:16:15,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
23-08-2008,00:08:28,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,,none
23-07-2007,23:28:48,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
23-07-2007,22:21:53,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner
23-07-2007,21:37:25,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
23-07-2007,21:35:14,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
23-07-2007,21:32:26,Maruti Vitara Brezza ZDi Plus AMT,2018,,4500,Diesel,Dealer,Automatic,First Owner
23-07-2007,21:03:13,Audi Q5 2.0 TDI,,1190000,175900,Diesel,Dealer,,First Owner
23-06-2007,19:31:54,Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner
23-06-2007,19:30:12,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner
23-06-2007,17:10:20,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
23-06-2007,06:35:39,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
23-06-2007,04:14:31,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Automatic,Automatic,Second Owner
23-06-2007,01:52:18,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner
23-06-2007,00:09:41,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner
23-05-2006,23:42:28,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner
23-05-2006,23:08:58,Mercedes-Benz E-Class E 200 CGI Elegance,2005,,119000,Petrol,Dealer,Automatic,First Owner
23-05-2006,19:26:58,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
23-05-2006,18:09:44,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
23-05-2006,17:06:08,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
23-05-2006,06:08:32,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner
23-04-2006,04:27:00,Mahindra Scorpio 1.99 S10,2014,1050000,50000,,Individual,Manual,First Owner
23-04-2006,02:03:20,Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner
23-04-2006,00:20:16,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner
23-04-2006,00:19:18,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner
23-04-2005,21:46:34,Mahindra Scorpio LX,2009,,120000,Diesel,Individual,Manual,Second Owner
23-04-2005,21:39:44,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner
23-04-2005,21:38:01,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner
23-04-2005,21:27:32,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
23-04-2005,20:13:34,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner
23-04-2005,20:06:21,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner
23-04-2005,16:45:05,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner
23-04-2005,13:33:10,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,,Manual,First Owner
23-03-2005,02:52:56,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner
23-03-2004,23:57:37,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner
23-03-2004,23:50:57,Maruti Alto LXi,2012,,60000,Petrol,Individual,Manual,Second Owner
23-03-2004,23:31:28,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner
23-03-2004,23:14:59,Honda City i DTEC VX,2014,675000,,Diesel,Dealer,Manual,First Owner
23-03-2004,20:33:12,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner
23-03-2004,19:07:20,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
23-03-2004,18:56:15,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
23-03-2004,18:46:42,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
23-03-2004,16:28:36,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
23-03-2004,16:26:19,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
23-03-2004,16:17:22,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner
23-02-2004,15:32:31,Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner
23-02-2004,02:35:08,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,
23-02-2003,23:30:17,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner
23-02-2003,21:28:01,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner
23-02-2003,20:55:36,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner
23-02-2003,20:52:52,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
23-02-2003,19:25:37,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner
23-02-2003,15:19:12,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner
23-02-2003,12:34:14,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner
23-02-2003,12:27:27,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
23-02-2003,03:55:49,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner
23-02-2003,03:44:39,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner
23-02-2002,23:34:23,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
23-02-2002,21:30:24,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
23-01-2002,19:09:28,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner
23-01-2002,18:58:34,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner
23-01-2002,18:57:07,Honda Amaze S i-VTEC,2016,,11958,Petrol,,Manual,First Owner
23-01-2002,17:15:30,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner
23-01-2002,14:37:03,Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
23-01-2002,13:18:39,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
23-01-2002,13:11:06,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner
23-01-2002,12:47:48,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner
23-01-2002,11:00:30,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,,Second Owner
23-01-2002,10:35:56,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner
23-01-2002,03:43:15,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
23-01-2002,00:32:51,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
23-01-2001,23:07:25,Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
23-01-2001,21:57:54,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
23-01-2001,21:46:18,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
23-01-2001,21:28:55,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
